博	1212|bo2
鹁	1235|bo2
渤	_312|bo2
搏	4212|bo2
鲌	3532|bo2,ba4
僰	1224|bo2
箔	31_3|bo2
膊	2312|bo2
踣	1441|bo2
镈	_112|bo2
馞	3112|bo2
欂	_2_5|bo2
礴	13_5|bo2
跛	1453|bo3
簸	3112|bo3,bo4
檗	51_2|bo4
擘	5142|bo4,bai1
卜	2453|bu3,bo5
啵	14_3|bo5
逋	1245|bu1
晡	2212|bu1
醭	1222|bu2
卟	1424|bu3
补	4524|bu3
捕	4212|bu3
哺	1412|bu3
𬷕	1235|bu3
不	13_4|bu4
布	1325|bu4
步	2123|bu4
怖	4413|bu4
钚	_113|bu4
埗	_421|bu4
部	4152|bu4
埠	_432|bu4
瓿	4115|bu4
蔀	_541|bu4
簿	31_3|bu4
擦	4244|ca1
嚓	1444|cha1,ca1
偲	2425|cai1,si1
猜	3511|cai1
才	12_3|cai2
材	_212|cai2
财	2512|cai2
裁	1241|cai2
采	34_2|cai3,cai4
彩	3433|cai3
睬	2534|cai3
踩	1434|cai3
菜	_534|cai4
蔡	_535|cai4
参	5433|can1,shen1,cen1
骖	5554|can1
餐	2124|can1
残	1311|can2
蚕	1125|can2
惭	4415|can2
惨	4454|can3
䅟	3154|can3
黪	2554|can3
灿	4325|can4
粲	2143|can4
璨	1121|can4
仓	2455|cang1
伧	2424|cang1,chen5
苍	_524|cang1
沧	_324|cang1
鸧	2435|cang1
舱	3324|cang1
藏	_513|cang2,zang4
操	4214|cao1
糙	4331|cao1
曹	1222|cao2
嘈	1412|cao2
漕	_312|cao2
槽	_212|cao2
𥕢	1312|cao2
螬	2512|cao2
艚	3312|cao2
草	_522|cao3
肏	3425|cao4
册	35_1|ce4
厕	1325|ce4
侧	2425|ce4,ze4,zhai1
测	_325|ce4
恻	4425|ce4
策	3112|ce4
岑	2524|cen2
涔	_325|cen2
梣	_225|chen2,qin2
噌	1443|ceng1,cheng1
层	5111|ceng2
曾	4322|ceng2,zeng1
嶒	2543|ceng2
蹭	1443|ceng4
叉	54_4|cha1,cha2,cha3,cha4
杈	_254|cha4,cha1
插	4231|cha1
馇	35_2|cha1,zha5
锸	_131|cha1
垞	_444|cha2
茬	_513|cha2
茶	_524|cha2
查	_222|cha2,zha1
搽	42_5|cha2
嵖	25_2|cha2
猹	35_2|cha2
槎	_243|cha2
碴	13_2|cha2,cha1,zha3
察	4435|cha2
𥻗	43_2|cha2
檫	_244|cha2
衩	4554|cha3,cha4
蹅	14_2|cha3
镲	_144|cha3
汊	_354|cha4
岔	3425|cha4
侘	2444|cha4
诧	4544|cha4
差	4312|cha4,cha1,chai1,ci1,chai4
姹	5344|cha4
拆	4233|chai1
钗	_154|chai1
侪	2441|chai2
柴	21_2|chai2
豺	3412|chai2
茝	_515|chai3
虿	1525|chai4
瘥	4143|chai4,cuo2
辿	2545|chan1
觇	2125|chan1
梴	_232|chan1
掺	4254|chan1,shan3,can4
搀	4235|chan1
襜	4535|chan1
谗	4535|chan2
婵	5343|chan2
馋	3535|chan2
禅	4543|chan2,shan4
孱	5152|chan2,can4
缠	5541|chan2
蝉	2543|chan2
廛	4125|chan2
潺	_351|chan2
澶	_341|chan2
镡	_112|tan2,chan2,xin2
瀍	_341|chan2
蟾	2535|chan2
儳	2435|chan2
巉	2535|chan2
躔	1441|chan2
镵	_135|chan2
产	41_3|chan3
刬	1122|chan4,chan3
旵	2225|chan3
浐	_341|chan3
谄	4535|chan3
啴	1443|chan3,tan1
铲	_141|chan3
阐	4243|chan3
蒇	_513|chan3
𬊤	4343|chan3
骣	5551|chan3
冁	4351|chan3
忏	4431|chan4
颤	4113|chan4,zhan4
羼	5143|chan4
韂	1235|chan4
伥	2431|chang1
昌	2222|chang1
菖	_522|chang1
猖	3522|chang1
阊	4222|chang1
娼	5322|chang1
鲳	3522|chang1
苌	_531|chang2
肠	2353|chang2
尝	2411|chang2
常	2414|chang2
偿	2424|chang2
徜	3324|chang2
嫦	5324|chang2
鲿	3524|chang2
厂	1353|chang3,an1
场	_453|chang3,chang2
𬬮	_131|chang3
昶	4522|chang3
惝	4424|chang3,tang3
敞	2431|chang3
氅	2431|chang3
怅	4431|chang4
畅	2553|chang4
倡	2422|chang4,chang1
鬯	3435|chang4
唱	1422|chang4
抄	4223|chao1
怊	4453|chao1
弨	5153|chao1
钞	_123|chao1
超	_453|chao1
焯	4321|zhuo1,chao1
晁	2234|chao2
